latitude,longitude,time,GPI
35.5,93.5,13602255.0,0.0
35.5,94.5,13602255.0,0.0
35.5,95.5,13602255.0,0.06944567
35.5,96.5,13602255.0,0.41680637
35.5,97.5,13602255.0,0.7657631
35.5,98.5,13602255.0,0.9069306
35.5,99.5,13602255.0,0.61756516
35.5,100.5,13602255.0,0.16423906
35.5,101.5,13602255.0,0.016692743
35.5,102.5,13602255.0,0.03140337
35.5,103.5,13602255.0,0.16788974
35.5,104.5,13602255.0,0.0508856
35.5,105.5,13602255.0,0.3144426
35.5,106.5,13602255.0,2.2913022
35.5,107.5,13602255.0,1.4839967
35.5,108.5,13602255.0,0.07573491
35.5,109.5,13602255.0,0.26357022
35.5,110.5,13602255.0,0.12666203
35.5,111.5,13602255.0,0.0016688744
35.5,112.5,13602255.0,0.0
35.5,113.5,13602255.0,0.0
35.5,114.5,13602255.0,0.0
35.5,115.5,13602255.0,0.0
35.5,116.5,13602255.0,0.0
35.5,117.5,13602255.0,0.0
35.5,118.5,13602255.0,0.0
35.5,119.5,13602255.0,0.0
35.5,120.5,13602255.0,0.0
34.5,30.5,13602255.0,0.0
34.5,31.5,13602255.0,0.0
34.5,32.5,13602255.0,0.0
34.5,33.5,13602255.0,0.006271779
34.5,34.5,13602255.0,0.010691642
34.5,35.5,13602255.0,0.00122449
34.5,36.5,13602255.0,0.0
34.5,37.5,13602255.0,0.0
34.5,38.5,13602255.0,0.0
34.5,39.5,13602255.0,0.0
34.5,40.5,13602255.0,0.0
34.5,41.5,13602255.0,0.0
34.5,42.5,13602255.0,0.0
34.5,43.5,13602255.0,0.0
34.5,44.5,13602255.0,0.0
34.5,45.5,13602255.0,0.0
34.5,46.5,13602255.0,0.0
34.5,47.5,13602255.0,0.0
34.5,48.5,13602255.0,0.0
34.5,49.5,13602255.0,0.0
34.5,50.5,13602255.0,0.0
34.5,51.5,13602255.0,0.0
34.5,52.5,13602255.0,0.0
34.5,53.5,13602255.0,0.0
34.5,54.5,13602255.0,0.0
34.5,55.5,13602255.0,0.0
34.5,56.5,13602255.0,0.0
34.5,57.5,13602255.0,0.0
34.5,58.5,13602255.0,0.0
34.5,59.5,13602255.0,0.0
34.5,60.5,13602255.0,0.0
34.5,61.5,13602255.0,0.0
34.5,62.5,13602255.0,0.0
34.5,63.5,13602255.0,0.0
34.5,64.5,13602255.0,0.0
34.5,65.5,13602255.0,0.0
34.5,66.5,13602255.0,0.0
34.5,67.5,13602255.0,0.0
34.5,68.5,13602255.0,0.0
34.5,69.5,13602255.0,0.0
34.5,70.5,13602255.0,0.0
34.5,71.5,13602255.0,0.0
34.5,72.5,13602255.0,0.0
34.5,73.5,13602255.0,0.0
34.5,74.5,13602255.0,0.0
34.5,75.5,13602255.0,0.0
34.5,76.5,13602255.0,0.0
34.5,77.5,13602255.0,0.0
34.5,78.5,13602255.0,0.0
34.5,79.5,13602255.0,0.0
34.5,80.5,13602255.0,0.0
34.5,81.5,13602255.0,0.0
34.5,82.5,13602255.0,0.0
34.5,83.5,13602255.0,0.0
34.5,84.5,13602255.0,0.0
34.5,85.5,13602255.0,0.0
34.5,86.5,13602255.0,0.0
34.5,87.5,13602255.0,0.0
34.5,88.5,13602255.0,0.0
34.5,89.5,13602255.0,0.0
34.5,90.5,13602255.0,0.0
34.5,91.5,13602255.0,0.0
34.5,92.5,13602255.0,0.0
34.5,93.5,13602255.0,0.0
34.5,94.5,13602255.0,0.0007111112
34.5,95.5,13602255.0,0.06715233
34.5,96.5,13602255.0,0.29491034
34.5,97.5,13602255.0,0.6653233
34.5,98.5,13602255.0,0.5895074
34.5,99.5,13602255.0,0.40101355
34.5,100.5,13602255.0,0.08048618
34.5,101.5,13602255.0,0.0013935486
34.5,102.5,13602255.0,0.0
34.5,103.5,13602255.0,0.0
34.5,104.5,13602255.0,0.0005662922
34.5,105.5,13602255.0,0.05292405
34.5,106.5,13602255.0,0.4552518
34.5,107.5,13602255.0,0.21331884
34.5,108.5,13602255.0,0.07902431
34.5,109.5,13602255.0,0.13040727
34.5,110.5,13602255.0,0.016700324
34.5,111.5,13602255.0,0.0
34.5,112.5,13602255.0,0.0
34.5,113.5,13602255.0,0.0
34.5,114.5,13602255.0,0.0
34.5,115.5,13602255.0,0.0
34.5,116.5,13602255.0,0.0
34.5,117.5,13602255.0,0.0
34.5,118.5,13602255.0,0.0
34.5,119.5,13602255.0,0.0
34.5,120.5,13602255.0,0.0
33.5,30.5,13602255.0,0.0
33.5,31.5,13602255.0,0.0
33.5,32.5,13602255.0,0.0
33.5,33.5,13602255.0,0.0
33.5,34.5,13602255.0,0.0
33.5,35.5,13602255.0,0.0
33.5,36.5,13602255.0,0.0
33.5,37.5,13602255.0,0.0
33.5,38.5,13602255.0,0.0
